fid,id_plot,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire,pointeur,tablette
"105","8",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:18:31,,,
"106","8",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Moni,2024/09/17 17:18:43,,,
"107","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:19:03,,,
"108","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Peto,2024/09/17 17:20:33,,,
"109","8",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:21:09,,,
"110","8",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao noir ,2024/09/17 17:22:35,,,
"111","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Moni,2024/09/17 17:22:50,,,
"112","8",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cèdre jaune ,2024/09/17 17:23:24,,,
"113","8",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao rouge ,2024/09/17 17:24:24,,,
"114","8",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Niamboka ,2024/09/17 17:26:13,,,
"115","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot rouge,2024/09/17 17:27:55,,,
"116","8",44,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Makwelembo,2024/09/17 17:30:56,,,
"117","8",45,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Washipeba,2024/09/17 17:31:59,,,
"118","8",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot noir ,2024/09/17 17:32:31,,,
"119","8",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:33:49,,,
"120","8",50,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cèdre jaune ,2024/09/17 17:34:06,,,
"121","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Koko,2024/09/17 17:34:54,,,
"122","8",40,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:35:40,,,
"123","8",30,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Kobe ,2024/09/17 17:36:25,,,
"124","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:37:49,,,
"125","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot rouge ,2024/09/17 17:38:10,,,
"126","33",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Boko,2024/09/17 20:40:23,,,
"127","33",25,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:40:48,,,
"128","33",90,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Angélique ,2024/09/17 20:41:06,,,
"129","33",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:41:31,,,
"130","33",50,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:41:43,,,
"131","33",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot rouge,2024/09/17 20:41:57,,,
"132","33",30,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:43:16,,,
"133","33",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:43:28,,,
"134","33",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:43:37,,,
"135","33",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:43:50,,,
"136","33",65,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Kobé,2024/09/17 20:43:57,,,
"137","33",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mahot rouge,2024/09/17 20:44:39,,,
"138","33",15,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:45:23,,,
"139","33",30,mort,0 - Aucune blessure,0 - Aucune branche endommagée,3 - Arbre couché,,,,,2024/09/17 20:45:36,,,
"140","33",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:46:20,,,
"141","33",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:46:43,,,
"142","33",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:47:01,,,
"143","33",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:48:05,,,
"144","33",10,mort,0 - Aucune blessure,3 - Arbre étêté,0 - Arbre droit,,,,,2024/09/17 20:48:11,,,
"145","33",30,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Kobé,2024/09/17 20:48:51,,,
"146","33",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Yamadou Kwatamé ,2024/09/17 20:49:07,,,
"147","33",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 20:49:43,,,
"148","33",35,vivant,,2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,,,2024/09/17 20:50:04,Doublon,,
"149","33",15,mort,0 - Aucune blessure,2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,,,2024/09/17 20:51:21,,,
