fid,id_plot,type_piste,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire
"36","26",Piste principale,"45",vivant,"1 - Petites blessures (<200cm²)
",,,,,,,2024/09/17 19:14:41,
"37","26",Piste principale,"50",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:15:07,
"38","26",Piste principale,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:15:18,
"39","26",Piste principale,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:15:44,
"40","26",Piste principale,"45",vivant,"2 - Blessures moyennes (200-600 cm²)
",1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,true,GF,2024/09/17 19:15:55,
"41","26",Piste principale,"60",mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 19:16:33,
"42",,Piste secondaire,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cèdre noir,2024/09/16 17:58:51,
"43",,Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Amourette,2024/09/16 18:00:32,
"44",,Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:03:38,
"45",,Piste secondaire,"45",mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:04:10,
"46",,Piste secondaire,"35",vivant,"1 - Petites blessures (<200cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:07:27,
"47","8",Piste secondaire,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cobe,2024/09/16 18:41:32,
"48","8",Piste secondaire,"100",exploité,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,"7384",,true,Angélique ,2024/09/16 18:42:59,
"49","8",Piste secondaire,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:44:16,
"50","8",Piste secondaire,"10",vivant,"1 - Petites blessures (<200cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/16 18:44:44,
"51","8",Piste secondaire,"35",vivant,"2 - Blessures moyennes (200-600 cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,true,Aliniao,2024/09/16 18:45:07,
"52","8",Piste secondaire,"35",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Moni,2024/09/16 18:45:53,
"53","3",Piste secondaire,"15",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,1 - Légèrement penché (<10°),,,,,2024/09/17 12:14:11,
"54","3",Piste secondaire,"15",vivant,"1 - Petites blessures (<200cm²)
",2 - Une ou plusieurs branches principales cassées ,0 - Arbre droit,,,,,2024/09/17 12:14:53,
